"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo1.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo1.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo1.cls","3","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"4","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo1.cls","3","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"5","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo1Test.cls","23","9","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"6","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo1Test.cls","26","12","ApexUnitTestClassShouldHaveAsserts","Apex unit tests should System.assert() or assertEquals() or assertNotEquals()","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_bestpractices.html#apexunittestclassshouldhaveasserts","Best Practices","pmd"
"7","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo2.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"8","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo2.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"9","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo2.cls","3","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"10","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo2.cls","3","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"11","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo2Test.cls","23","9","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"12","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo2Test.cls","26","12","ApexUnitTestClassShouldHaveAsserts","Apex unit tests should System.assert() or assertEquals() or assertNotEquals()","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_bestpractices.html#apexunittestclassshouldhaveasserts","Best Practices","pmd"
"13","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo3.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"14","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo3.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"15","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo3.cls","3","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"16","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo3.cls","3","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"17","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo3Test.cls","23","9","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"18","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo3Test.cls","26","12","ApexUnitTestClassShouldHaveAsserts","Apex unit tests should System.assert() or assertEquals() or assertNotEquals()","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_bestpractices.html#apexunittestclassshouldhaveasserts","Best Practices","pmd"
"19","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo4.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"20","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo4.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"21","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo4.cls","3","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"22","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo4.cls","3","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"23","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo4.cls","4","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"24","3","/home/runner/work/sfdx-validate-env/sfdx-validate-env/force-app/main/default/classes/Demo4.cls","4","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.6.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
